,Id,Predicted
192,645_2023-11-02,0.08
193,646_2023-12-02,0.24
194,651_2023-02-03,0.07
195,652_2023-10-05,0.93
196,656_2023-12-11,0.42
197,658_2023-05-16,0.93
198,663_2023-03-03,0.15
199,666_2023-07-24,0.22
200,667_2023-06-02,0.1
201,676_2023-11-30,0.16
202,677_2023-11-08,0.12
203,681_2023-12-04,0.03
204,693_2023-11-28,0.25
205,694_2023-12-30,0.57
206,696_2023-05-04,0.39
207,703_2023-11-01,0.04
208,706_2023-08-25,0.66
209,715_2023-12-08,0.16
210,716_2023-12-08,0.43
211,717_2023-12-19,0.06
212,721_2023-11-08,0.31
213,723_2023-11-22,0.04
214,727_2023-08-01,0.14
215,732_2023-11-27,0.02
216,736_2023-11-15,0.09
217,742_2023-05-05,0.97
218,743_2023-11-29,0.14
219,753_2023-08-08,0.12
220,761_2023-11-14,0.01
221,764_2023-11-20,0.24
222,765_2023-12-11,0.68
223,766_2023-11-20,0.08
224,771_2023-01-12,0.84
225,782_2023-02-22,0.46
226,783_2023-11-29,0.72
227,784_2023-11-27,0.06
228,785_2023-10-09,0.74
229,786_2023-11-28,0.0
230,791_2023-02-15,0.18
231,800_2023-12-18,0.12
232,804_2023-05-19,0.09
233,812_2023-12-01,0.02
234,815_2023-11-28,0.04
235,822_2023-11-03,0.38
236,828_2023-12-11,0.33
237,832_2023-10-30,0.24
238,833_2023-09-18,0.13
239,840_2023-11-03,0.04
240,841_2023-11-01,0.31
241,844_2023-08-18,0.54
242,846_2023-11-02,0.3
243,848_2023-11-14,0.05
244,850_2023-12-19,0.4
245,855_2023-12-22,0.45
246,858_2023-11-09,0.53
247,859_2023-11-02,0.9
248,861_2023-12-28,0.1
249,865_2023-11-21,0.75
250,872_2023-11-01,0.95
251,881_2023-12-21,0.14
252,882_2023-02-01,0.68
253,883_2023-11-12,0.09
254,889_2023-11-29,0.06
255,892_2023-12-20,0.05
256,894_2023-08-16,0.25
257,900_2023-01-28,0.08
258,910_2023-02-16,0.12
259,913_2023-12-13,0.05
260,916_2023-11-22,0.68
261,920_2023-11-09,0.01
262,926_2023-08-10,0.49
263,927_2023-08-22,0.98
264,928_2023-11-20,0.04
265,933_2023-11-29,0.12
266,944_2023-11-14,0.18
267,947_2023-06-19,0.44
268,953_2023-12-19,0.02
269,960_2023-11-20,0.1
270,963_2023-08-08,0.1
271,964_2023-12-20,0.78
272,967_2023-12-19,0.62
273,974_2023-12-27,0.15
274,976_2023-07-11,0.17
275,977_2023-06-07,0.1
276,978_2023-11-13,0.02
277,979_2023-11-03,0.02
278,983_2023-12-08,0.03
279,995_2023-12-19,0.02
280,997_2023-12-26,0.92
281,999_2023-11-22,0.24
282,1003_2023-12-15,0.17
283,1004_2023-12-05,0.2
284,1006_2023-07-24,0.92
285,1008_2023-12-20,0.06
286,1009_2023-12-08,0.1
287,1015_2023-02-01,0.21
288,1017_2023-12-11,0.14
289,1023_2023-03-13,0.96
290,1025_2023-12-18,0.41
291,1027_2023-11-15,0.05
292,1028_2023-11-16,0.02
293,1036_2023-12-14,0.79
294,1038_2023-11-10,0.29
295,1043_2023-10-10,0.09
296,1049_2023-08-03,0.83
297,1055_2023-12-12,0.97
298,1058_2023-11-28,0.03
299,1060_2023-11-24,0.47
300,1064_2023-05-02,0.94
301,1065_2023-02-20,0.06
302,1074_2023-12-12,0.04
303,1076_2023-11-01,0.98
304,1077_2023-11-15,0.28
305,1081_2023-12-20,0.01
306,1082_2023-11-27,0.1
307,1085_2023-12-20,0.05
308,1088_2023-11-24,0.37
309,1094_2023-11-27,0.15
310,1098_2023-11-08,0.01
311,1100_2023-11-09,0.08
312,1104_2023-02-24,0.18
313,1113_2023-03-11,0.31
314,1116_2023-11-30,0.09
315,1118_2023-09-29,0.29
316,1124_2023-11-27,0.11
317,1128_2023-08-04,0.21
318,1130_2023-12-13,0.83
319,1133_2023-12-07,0.01
320,1134_2023-12-05,0.01
321,1137_2023-08-17,0.16
322,1143_2023-11-01,0.01
323,1153_2023-11-02,0.14
324,1156_2023-12-05,0.74
325,1165_2023-01-31,0.1
326,1170_2023-11-14,0.88
327,1171_2023-12-18,0.4
328,1172_2023-12-14,0.85
329,1173_2023-12-05,0.96
330,1174_2023-11-30,0.1
331,1184_2023-09-14,0.42
332,1185_2023-11-02,0.95
333,1197_2023-11-21,0.07
334,1211_2023-01-13,0.9
335,1214_2023-03-24,0.84
336,1216_2023-07-17,0.96
337,1220_2023-03-22,0.14
338,1226_2023-01-12,0.76
339,1228_2023-06-27,0.76
340,1232_2023-12-15,0.95
341,1234_2023-11-15,0.9
342,1236_2023-01-20,0.53
343,1244_2023-11-01,0.85
344,1251_2023-11-24,0.16
345,1254_2023-11-16,0.92
346,1255_2023-12-22,0.51
347,1266_2023-11-07,0.92
348,1267_2023-12-18,0.69
349,1270_2023-11-28,0.02
350,1276_2023-11-02,0.62
351,1290_2023-02-14,0.1
352,1295_2023-12-27,0.85
353,1296_2023-11-28,0.01
354,1297_2023-02-22,0.06
355,1300_2023-09-03,0.08
356,1303_2023-12-14,0.02
357,1305_2023-12-05,0.11
358,1308_2023-02-10,0.54
359,1312_2023-12-28,0.1
360,1314_2023-06-23,0.07
361,1318_2023-11-06,0.06
362,1319_2023-12-25,0.35
363,1322_2023-10-20,0.48
364,1323_2023-12-06,0.02
365,1326_2023-11-03,0.05
366,1329_2023-11-24,0.05
367,1337_2023-12-14,0.03
368,1338_2023-12-18,0.42
369,1339_2023-12-12,0.48
370,1340_2023-11-27,0.12
371,1345_2023-11-16,0.17
372,1356_2023-11-22,0.16
373,1362_2023-11-20,0.29
374,1364_2023-12-15,0.08
375,1367_2023-07-23,0.09
376,1368_2023-11-01,0.09
377,1371_2023-12-12,0.13
378,1374_2023-12-11,0.49
379,1376_2023-03-01,0.05
380,1383_2023-12-14,0.2
381,1385_2023-04-05,0.07
382,1387_2023-11-28,0.07
383,1389_2023-11-28,0.03
384,1396_2023-11-29,0.44
385,1400_2023-11-02,0.09
386,1408_2023-02-02,0.07
387,1419_2023-12-12,0.32
388,1420_2023-12-20,0.76
389,1421_2023-12-18,0.13
390,1423_2023-12-11,0.78
391,1424_2023-12-23,0.08
392,1432_2023-03-30,0.39
393,1433_2023-06-24,0.12
394,1436_2023-11-03,0.33
395,1437_2023-11-16,0.15
396,1446_2023-11-24,0.03
397,1448_2023-09-13,0.01
398,1449_2023-02-22,0.66
399,1458_2023-12-26,0.04
400,1463_2023-12-04,0.27
401,1465_2023-08-17,0.2
402,1468_2023-12-25,0.05
403,1473_2023-12-15,0.05
404,1475_2023-11-01,0.22
405,1478_2023-12-26,0.31
406,1483_2023-08-14,0.03
407,1485_2023-11-16,0.01
408,1486_2023-11-02,0.0
409,1493_2023-02-06,0.02
410,1496_2023-08-30,0.08
411,1498_2023-11-02,0.09
412,1500_2023-12-18,0.01
413,1501_2023-11-01,0.24
414,1502_2023-11-10,0.07
415,1508_2023-11-10,0.19
416,1513_2023-08-30,0.08
417,1515_2023-12-22,0.18
418,1517_2023-12-18,0.38
419,1518_2023-12-22,0.18
420,1526_2023-08-07,0.02
421,1527_2023-12-06,0.24
422,1528_2023-12-28,0.01
423,1529_2023-11-03,0.29
424,1541_2023-12-27,0.09
425,1555_2023-11-06,0.22
426,1557_2023-11-22,0.1
427,1558_2023-12-08,0.48
428,1562_2023-12-01,0.14
429,1563_2023-12-22,0.15
430,1571_2023-12-29,0.87
431,1573_2023-11-25,0.02
432,1576_2023-11-22,0.01
433,1577_2023-01-18,0.13
434,1582_2023-11-29,0.12
435,1584_2023-08-23,0.95
436,1591_2023-12-11,0.9
437,1598_2023-12-04,0.11
438,1601_2023-11-27,0.16
439,1607_2023-05-18,0.19
440,1610_2023-11-01,0.01
441,1612_2023-11-17,0.03
442,1616_2023-11-01,0.0
443,1619_2023-11-13,0.35
444,1622_2023-12-27,0.3
445,1631_2023-12-26,0.14
446,1632_2023-12-15,0.04
447,1634_2023-12-27,0.06
448,1639_2023-05-17,0.48
449,1640_2023-11-16,0.94
450,1641_2023-12-11,0.2
451,1645_2023-11-27,0.11
452,1646_2023-02-03,0.53
453,1651_2023-12-15,0.76
454,1653_2023-02-09,0.24
455,1664_2023-11-10,0.12
456,1671_2023-03-06,0.13
457,1674_2023-11-03,0.37
458,1677_2023-11-03,0.02
459,1682_2023-08-28,0.05
460,1683_2023-02-14,0.06
461,1686_2023-08-07,0.14
462,1690_2023-12-26,0.07
463,1697_2023-12-08,0.02
464,1702_2023-11-21,0.03
465,1703_2023-02-03,0.77
466,1712_2023-09-18,0.41
467,1718_2023-11-03,0.16
468,1725_2023-12-11,0.76
469,1728_2023-11-13,0.0
470,1731_2023-01-10,0.13
471,1732_2023-08-05,0.18
472,1738_2023-12-08,0.21
473,1743_2023-12-20,0.08
474,1745_2023-09-20,0.49
475,1747_2023-12-21,0.12
476,1750_2023-12-13,0.04
477,1753_2023-08-13,0.3
478,1757_2023-08-24,0.09
479,1763_2023-12-11,0.11
480,1764_2023-04-11,0.42
481,1765_2023-12-18,0.12
482,1766_2023-08-24,0.3
483,1773_2023-06-23,0.94
484,1776_2023-11-23,0.97
485,1786_2023-11-17,0.35
486,1789_2023-11-14,0.12
487,1796_2023-12-20,0.01
488,1800_2023-11-19,0.04
489,1804_2023-11-29,0.04
490,1806_2023-08-11,0.52
491,1809_2023-11-29,0.22
492,1812_2023-08-03,0.85
493,1814_2023-12-04,0.07
494,1816_2023-12-18,0.57
495,1819_2023-06-22,0.1
496,1823_2023-10-16,0.62
497,1826_2023-11-30,0.11
498,1827_2023-12-15,0.02
499,1830_2023-12-10,0.09
500,1841_2023-12-06,0.09
501,1842_2023-11-13,0.09
502,1844_2023-10-03,0.18
503,1846_2023-11-22,0.49
504,1847_2023-11-11,0.19
505,1848_2023-09-20,0.13
506,1851_2023-12-18,0.06
507,1852_2023-12-14,0.09
508,1853_2023-12-01,0.72
509,1867_2023-12-19,0.05
510,1870_2023-12-01,0.15
511,1880_2023-10-03,0.14
512,1885_2023-11-15,0.32
513,1886_2023-12-08,0.01
514,1887_2023-11-30,0.35
515,1889_2023-12-12,0.44
516,1891_2023-11-28,0.05
517,1899_2023-11-01,0.05
518,1901_2023-11-09,0.06
519,1906_2023-10-31,0.01
520,1916_2023-12-13,0.5
521,1919_2023-11-28,0.04
522,1927_2023-12-28,0.06
523,1931_2023-08-25,0.14
524,1939_2023-11-09,0.03
525,1940_2023-12-21,0.07
526,1941_2023-10-04,0.08
527,1944_2023-11-19,0.03
528,1948_2023-12-26,0.1
529,1949_2023-11-13,0.96
530,1950_2023-08-31,0.82
531,1956_2023-05-19,0.41
532,1957_2023-12-22,0.15
533,1958_2023-11-29,0.0
534,1962_2023-02-20,0.07
535,1963_2023-11-15,0.16
536,1964_2023-12-26,0.17
537,1966_2023-11-01,0.09
538,1978_2023-12-14,0.89
539,1980_2023-11-28,0.41
540,1985_2023-12-04,0.28
541,1997_2023-10-12,0.08
542,1999_2023-02-14,0.73
543,2001_2023-12-15,0.43
544,2004_2023-02-06,0.25
545,2013_2023-12-22,0.74
546,2015_2023-11-08,0.17
547,2016_2023-01-16,0.26
548,2019_2023-12-14,0.12
549,2022_2023-11-22,0.77
550,2024_2023-12-25,0.46
551,2031_2023-12-11,0.04
552,2041_2023-04-17,0.07
553,2055_2023-11-10,0.59
554,2056_2023-11-04,0.18
555,2058_2023-12-05,0.15
556,2060_2023-11-21,0.16
557,2064_2023-11-14,0.01
558,2066_2023-12-20,0.02
559,2068_2023-11-21,0.02
560,2071_2023-11-17,0.29
561,2072_2023-11-08,0.95
562,2073_2023-11-16,0.18
563,2074_2023-11-10,0.05
564,2080_2023-11-07,0.02
565,2092_2023-11-16,0.13
566,2096_2023-12-21,0.01
567,2097_2023-12-18,0.13
568,2101_2023-08-17,0.16
569,2104_2023-12-23,0.08
570,2105_2023-10-26,0.4
571,2109_2023-11-17,0.95
572,2110_2023-12-11,0.17
573,2111_2023-12-21,0.99
574,2113_2023-12-20,0.62
575,2114_2023-11-09,0.04
576,2117_2023-11-03,0.07
577,2122_2023-11-22,0.89
578,2128_2023-11-08,0.02
579,2130_2023-12-19,0.23
580,2138_2023-11-15,0.83
581,2142_2023-12-14,0.67
582,2148_2023-11-15,0.95
583,2153_2023-07-25,0.22
584,2158_2023-09-12,0.04
585,2161_2023-08-09,0.04
586,2162_2023-11-14,0.22
587,2164_2023-09-01,0.25
588,2166_2023-11-16,0.15
589,2167_2023-11-15,0.01
590,2172_2023-11-21,0.18
591,2173_2023-06-20,0.58
592,2182_2023-11-01,0.08
593,2186_2023-12-25,0.08
594,2187_2023-08-03,0.02
595,2191_2023-11-21,0.98
596,2193_2023-09-01,0.78
597,2194_2023-11-15,0.13
598,2197_2023-12-26,0.04
599,2198_2023-11-08,0.26
600,2202_2023-10-06,0.45
601,2204_2023-08-22,0.8
602,2216_2023-06-07,0.22
603,2223_2023-07-05,0.2
604,2226_2023-12-07,0.61
605,2234_2023-12-04,0.06
606,2237_2023-01-27,0.02
607,2244_2023-08-17,0.65
608,2250_2023-11-17,0.04
609,2251_2023-12-18,0.28
610,2261_2023-07-10,0.41
611,2267_2023-12-19,0.92
612,2268_2023-11-21,0.16
613,2269_2023-03-25,0.07
614,2275_2023-07-03,0.08
615,2280_2023-11-09,0.19
616,2283_2023-05-11,0.83
617,2290_2023-11-22,0.92
618,2294_2023-12-06,0.08
619,2313_2023-08-14,0.04
620,2315_2023-11-10,0.0
621,2323_2023-07-06,0.17
622,2324_2023-12-05,0.08
623,2337_2023-09-07,0.11
624,2338_2023-12-27,0.24
625,2342_2023-11-29,0.08
626,2343_2023-12-13,0.09
627,2344_2023-11-28,0.31
628,2348_2023-12-15,0.73
629,2349_2023-12-12,0.04
630,2362_2023-11-09,0.1
631,2369_2023-12-29,0.13
632,2370_2023-12-20,0.1
633,2374_2023-06-29,0.06
634,2380_2023-11-20,0.18
635,2384_2023-11-30,0.25
636,2385_2023-10-11,0.37
637,2397_2023-11-07,0.29
638,2399_2023-08-08,0.12
639,2401_2023-12-11,0.38
640,2402_2023-11-09,0.24
641,2410_2023-11-30,0.06
642,2411_2023-12-21,0.11
643,2415_2023-11-22,0.91
644,2428_2023-10-09,0.86
645,2429_2023-11-17,0.56
646,2436_2023-01-30,0.08
647,2441_2023-12-15,0.24
648,2448_2023-12-27,0.07
649,2453_2023-11-15,0.09
650,2454_2023-06-27,0.04
651,2456_2023-04-24,0.29
652,2459_2023-09-29,0.07
653,2479_2023-11-03,0.78
654,2480_2023-12-07,0.53
655,2482_2023-12-28,0.51
656,2484_2023-12-05,0.62
657,2502_2023-07-18,0.96
658,2506_2023-09-29,0.18
659,2510_2023-11-16,0.05
660,2513_2023-01-10,0.91
661,2515_2023-02-21,0.87
662,2516_2023-05-19,0.94
663,2521_2023-11-22,0.96
664,2528_2023-05-23,0.98
665,2532_2023-12-22,0.05
666,2534_2023-12-13,0.56
667,2555_2023-11-17,0.98
668,2560_2023-11-15,0.09
669,2563_2023-12-14,0.7
670,2569_2023-12-02,0.68
671,2571_2023-03-14,0.01
672,2579_2023-02-03,0.05
673,2582_2023-12-08,0.06
674,2583_2023-11-14,0.17
675,2586_2023-11-23,0.26
676,2587_2023-05-17,0.08
677,2588_2023-11-02,0.28
678,2590_2023-07-14,0.15
679,2591_2023-11-28,0.11
680,2593_2023-12-21,0.12
681,2597_2023-12-15,0.19
682,2614_2023-12-22,0.03
683,2621_2023-12-24,0.03
684,2623_2023-12-05,0.26
685,2626_2023-03-30,0.03
686,2631_2023-12-27,0.54
687,2633_2023-11-22,0.12
688,2641_2023-11-05,0.12
689,2647_2023-12-15,0.13
690,2648_2023-11-16,0.19
691,2652_2023-11-22,0.84
692,2654_2023-12-11,0.71
693,2655_2023-08-14,0.22
694,2656_2023-10-06,0.05
695,2658_2023-11-07,0.4
696,2663_2023-12-11,0.07
697,2666_2023-11-22,0.04
698,2675_2023-12-26,0.8
699,2678_2023-11-23,0.2
700,2680_2023-12-01,0.94
701,2681_2023-07-04,0.43
702,2682_2023-11-09,0.14
703,2683_2023-02-17,0.48
704,2685_2023-12-24,0.19
705,2695_2023-11-21,0.3
706,2699_2023-07-18,0.08
707,2701_2023-11-23,0.07
708,2704_2023-12-14,0.08
709,2706_2023-12-12,0.75
710,2708_2023-12-12,0.02
711,2710_2023-12-11,0.79
712,2711_2023-07-29,0.03
713,2718_2023-12-12,0.01
714,2721_2023-11-22,0.22
715,2722_2023-09-27,0.25
716,2725_2023-11-02,0.08
717,2727_2023-12-15,0.46
718,2731_2023-11-01,0.01
719,2734_2023-11-30,0.21
720,2735_2023-12-16,0.19
721,2741_2023-12-09,0.1
722,2743_2023-12-27,0.05
723,2747_2023-12-12,0.02
724,2751_2023-11-20,0.01
725,2757_2023-11-30,0.25
726,2764_2023-12-14,0.0
727,2766_2023-11-08,0.42
728,2768_2023-12-04,0.0
729,2770_2023-04-11,0.28
730,2772_2023-12-15,0.19
731,2775_2023-11-02,0.64
732,2776_2023-12-07,0.74
733,2777_2023-12-07,0.69
734,2789_2023-11-07,0.85
735,2794_2023-09-15,0.78
736,2801_2023-12-07,0.02
737,2803_2023-06-14,0.15
738,2809_2023-09-28,0.06
739,2820_2023-12-30,0.18
740,2822_2023-09-14,0.07
741,2824_2023-11-15,0.14
742,2825_2023-12-15,0.95
743,2826_2023-02-03,0.08
744,2829_2023-12-04,0.84
745,2832_2023-09-04,0.85
746,2834_2023-12-15,0.09
747,2837_2023-02-19,0.09
748,2841_2023-12-19,0.47
749,2845_2023-10-05,0.08
750,2850_2023-12-14,0.02
751,2868_2023-06-19,0.05
752,2873_2023-12-11,0.9
753,2874_2023-11-16,0.56
754,2876_2023-11-16,0.84
755,2877_2023-04-26,0.01
756,2886_2023-11-09,0.84
757,2887_2023-05-26,0.14
758,2893_2023-12-16,0.07
759,2894_2023-11-09,0.08
760,2897_2023-12-08,0.38
761,2898_2023-11-23,0.23
762,2920_2023-07-15,0.16
763,2931_2023-11-30,0.05
764,2936_2023-11-06,0.45
765,2941_2023-12-22,0.05
766,2944_2023-12-13,0.46
767,2945_2023-12-20,0.88
768,2949_2023-11-01,0.11
769,2952_2023-12-12,0.71
770,2953_2023-11-06,0.1
771,2955_2023-03-31,0.05
772,2958_2023-11-03,0.82
773,2971_2023-08-09,0.77
774,2980_2023-11-16,0.14
775,2982_2023-09-18,0.11
776,2983_2023-12-08,0.71
777,2985_2023-12-20,0.74
778,2991_2023-11-08,0.04
779,2994_2023-10-13,0.09
780,2998_2023-11-27,0.84
781,3003_2023-11-28,0.07
782,3006_2023-06-06,0.16
783,3013_2023-12-15,0.03
784,3019_2023-07-31,0.16
785,3026_2023-05-22,0.02
786,3029_2023-05-29,0.97
787,3036_2023-12-06,0.1
788,3037_2023-08-04,0.08
789,3039_2023-12-19,0.31
790,3040_2023-07-25,0.3
791,3043_2023-11-22,0.17
792,3045_2023-09-13,0.23
793,3046_2023-11-24,0.33
794,3048_2023-11-09,0.35
795,3051_2023-11-17,0.87
796,3054_2023-12-28,0.07
797,3056_2023-11-01,0.06
798,3057_2023-05-18,0.94
799,3059_2023-12-20,0.04
800,3061_2023-02-01,0.1
801,3062_2023-12-13,0.22
802,3069_2023-11-07,0.05
803,3072_2023-12-08,0.13
804,3074_2023-11-21,0.29
805,3077_2023-06-14,0.93
806,3080_2023-12-07,0.06
807,3086_2023-02-16,0.32
808,3088_2023-08-30,0.03
809,3096_2023-07-18,0.64
810,3097_2023-08-14,0.96
811,3102_2023-12-11,0.51
812,3105_2023-02-17,0.84
813,3106_2023-11-16,0.25
814,3108_2023-11-21,0.18
815,3112_2023-12-13,0.5
816,3113_2023-08-02,0.22
817,3116_2023-08-02,0.75
818,3121_2023-11-21,0.13
819,3124_2023-12-11,0.82
820,3127_2023-09-04,0.47
821,3134_2023-11-22,0.94
822,3135_2023-12-12,0.09
823,3137_2023-02-17,0.12
824,3138_2023-12-26,0.38
825,3139_2023-08-17,0.06
826,3145_2023-11-15,0.25
827,3157_2023-09-07,0.11
828,3161_2023-11-11,0.05
829,3162_2023-12-02,0.31
830,3168_2023-11-27,0.0
831,3173_2023-09-01,0.94
832,3174_2023-11-22,0.31
833,3177_2023-07-18,0.12
834,3178_2023-12-19,0.04
835,3184_2023-11-28,0.68
836,3185_2023-12-11,0.1
837,3189_2023-11-04,0.25
838,3190_2023-09-19,0.91
839,3192_2023-12-14,0.03
840,3193_2023-10-12,0.05
841,3198_2023-11-14,0.15
842,3199_2023-11-02,0.58
843,3201_2023-12-04,0.3
844,3203_2023-12-25,0.05
845,3204_2023-11-13,0.03
846,3215_2023-12-08,0.64
847,3217_2023-12-11,0.09
848,3223_2023-10-24,0.11
849,3230_2023-11-08,0.47
850,3235_2023-01-12,0.08
851,3236_2023-12-14,0.06
852,3246_2023-11-02,0.68
853,3253_2023-11-21,0.81
854,3254_2023-09-01,0.2
855,3256_2023-12-18,0.27
856,3257_2023-08-10,0.06
857,3260_2023-07-06,0.09
858,3261_2023-11-21,0.53
859,3262_2023-08-18,0.1
860,3264_2023-12-21,0.16
861,3265_2023-12-01,0.26
862,3266_2023-02-27,0.46
863,3267_2023-09-20,0.07
864,3272_2023-07-19,0.13
865,3273_2023-07-11,0.62
866,3275_2023-04-12,0.96
867,3285_2023-11-01,0.98
868,3289_2023-06-13,0.02
869,3291_2023-12-13,0.32
870,3303_2023-08-02,0.38
871,3305_2023-12-20,0.02
872,3307_2023-12-26,0.57
873,3315_2023-12-07,0.18
874,3316_2023-12-02,0.5
875,3317_2023-12-15,0.48
876,3321_2023-11-30,0.02
877,3324_2023-02-01,0.05
878,3330_2023-12-09,0.06
879,3331_2023-07-10,0.59
880,3333_2023-12-13,0.19
881,3335_2023-12-08,0.11
882,3336_2023-02-13,0.1
883,3341_2023-12-22,0.0
884,3344_2023-09-27,0.1
885,3348_2023-11-08,0.95
886,3349_2023-11-27,0.98
887,3351_2023-12-21,0.19
888,3352_2023-11-20,0.32
889,3353_2023-05-25,0.26
890,3356_2023-12-12,0.12
